ColorName,NumOfColors,Type,CritVal,ColorNum,ColorLetter,C,M,Y,K,SchemeType
,,,,4,J,87,10,83,0,
YlGn,5,seq,,1,B,0,0,20,0,
,,,,2,E,24,0,39,0,
,,,,3,G,53,0,53,0,
,,,,4,I,81,0,76,0,
,,,,5,K,100,25,90,0,
YlGn,6,seq,,1,B,0,0,20,0,
,,,,2,D,15,0,35,0,
,,,,3,F,32,0,43,0,
,,,,4,G,53,0,53,0,
,,,,5,I,81,0,76,0,
,,,,6,K,100,25,90,0,
YlGn,7,seq,,1,B,0,0,20,0,
,,,,2,D,15,0,35,0,
,,,,3,F,32,0,43,0,
,,,,4,G,53,0,53,0,
,,,,5,H,75,0,70,0,
,,,,6,J,87,15,83,0,
,,,,7,L,100,35,90,0,
YlGn,8,seq,,1,A,0,0,10,0,
,,,,2,C,3,0,27,0,
,,,,3,D,15,0,35,0,
,,,,4,F,32,0,43,0,
,,,,5,G,53,0,53,0,
,,,,6,H,75,0,70,0,
,,,,7,J,87,15,83,0,
,,,,8,L,100,35,90,0,
YlGn,9,seq,,1,A,0,0,10,0,
,,,,2,C,3,0,27,0,
,,,,3,D,15,0,35,0,
,,,,4,F,32,0,43,0,
,,,,5,G,53,0,53,0,
,,,,6,H,75,0,70,0,
,,,,7,J,87,15,83,0,
,,,,8,K,100,25,90,0,
,,,,9,M,100,50,90,0,
YlGnBu,3,seq,,1,C,7,0,30,0,Sequential
,,,,2,F,50,0,20,0,
,,,,3,I,85,27,0,0,
YlGnBu,4,seq,,1,B,0,0,20,0,
,,,,2,E,37,0,25,0,
,,,,3,G,75,0,10,0,
,,,,4,J,90,45,0,0,
YlGnBu,5,seq,,1,B,0,0,20,0,
,,,,2,E,37,0,25,0,
,,,,3,G,75,0,10,0,
,,,,4,I,85,27,0,0,
,,,,5,K,90,70,0,0,
YlGnBu,6,seq,,1,B,0,0,20,0,
,,,,2,D,22,0,27,0,
,,,,3,F,50,0,20,0,
,,,,4,G,75,0,10,0,
,,,,5,I,85,27,0,0,
,,,,6,K,90,70,0,0,
YlGnBu,7,seq,,1,B,0,0,20,0,
,,,,2,D,22,0,27,0,
,,,,3,F,50,0,20,0,
,,,,4,G,75,0,10,0,
,,,,5,H,90,15,0,0,
,,,,6,J,90,45,0,0,
,,,,7,L,100,70,0,10,
YlGnBu,8,seq,,1,A,0,0,15,0,
,,,,2,C,7,0,30,0,
,,,,3,D,22,0,27,0,
,,,,4,F,50,0,20,0,
,,,,5,G,75,0,10,0,
,,,,6,H,90,15,0,0,
,,,,7,J,90,45,0,0,
,,,,8,L,100,70,0,10,
YlGnBu,9,seq,,1,A,0,0,15,0,
,,,,2,C,7,0,30,0,
,,,,3,D,22,0,27,0,
,,,,4,F,50,0,20,0,
,,,,5,G,75,0,10,0,
,,,,6,H,90,15,0,0,
,,,,7,J,90,45,0,0,
,,,,8,K,90,70,0,0,
,,,,9,M,100,70,0,40,
YlOrBr,3,seq,,1,C,0,3,25,0,Sequential
,,,,2,F,0,23,65,0,
,,,,3,I,15,60,95,0,
YlOrBr,4,seq,,1,B,0,0,17,0,
,,,,2,E,0,15,40,0,
,,,,3,G,0,40,80,0,
,,,,4,J,20,67,100,0,
YlOrBr,5,seq,,1,B,0,0,17,0,
,,,,2,E,0,15,40,0,
,,,,3,G,0,40,80,0,
,,,,4,I,15,60,95,0,
,,,,5,K,40,75,100,0,
YlOrBr,6,seq,,1,B,0,0,17,0,
,,,,2,D,0,11,40,0,
,,,,3,F,0,23,65,0,
,,,,4,G,0,40,80,0,
,,,,5,I,15,60,95,0,
,,,,6,K,40,75,100,0,
YlOrBr,7,seq,,1,B,0,0,17,0,
,,,,2,D,0,11,40,0,
,,,,3,F,0,23,65,0,
,,,,4,G,0,40,80,0,
,,,,5,H,7,55,90,0,
,,,,6,J,20,67,100,0,
,,,,7,L,45,78,100,0,
YlOrBr,8,seq,,1,A,0,0,10,0,
,,,,2,C,0,3,25,0,
,,,,3,D,0,11,40,0,
,,,,4,F,0,23,65,0,
,,,,5,G,0,40,80,0,
,,,,6,H,7,55,90,0,
,,,,7,J,20,67,100,0,
,,,,8,L,45,78,100,0,
YlOrBr,9,seq,,1,A,0,0,10,0,
,,,,2,C,0,3,25,0,
,,,,3,D,0,11,40,0,
,,,,4,F,0,23,65,0,
,,,,5,G,0,40,80,0,
,,,,6,H,7,55,90,0,
,,,,7,J,20,67,100,0,
,,,,8,K,40,75,100,0,
,,,,9,M,60,80,100,0,
YlOrRd,3,seq,,1,C,0,7,35,0,Sequential
,,,,2,F,0,30,65,0,
,,,,3,I,5,77,80,0,
YlOrRd,4,seq,,1,B,0,0,30,0,
,,,,2,E,0,20,60,0,
,,,,3,G,0,45,70,0,
,,,,4,J,10,90,80,0,
YlOrRd,5,seq,,1,B,0,0,30,0,
,,,,2,E,0,20,60,0,
,,,,3,G,0,45,70,0,
,,,,4,I,5,77,80,0,
,,,,5,K,25,100,70,0,
YlOrRd,6,seq,,1,B,0,0,30,0,
,,,,2,D,0,15,50,0,
,,,,3,F,0,30,65,0,
,,,,4,G,0,45,70,0,
,,,,5,I,5,77,80,0,
,,,,6,K,25,100,70,0,
YlOrRd,7,seq,,1,B,0,0,30,0,
,,,,2,D,0,15,50,0,
,,,,3,F,0,30,65,0,
,,,,4,G,0,45,70,0,
,,,,5,H,0,70,75,0,
,,,,6,J,10,90,80,0,
,,,,7,L,30,100,70,0,
YlOrRd,8,seq,,1,A,0,0,20,0,
,,,,2,C,0,7,35,0,
,,,,3,D,0,15,50,0,
,,,,4,F,0,30,65,0,
,,,,5,G,0,45,70,0,
,,,,6,H,0,70,75,0,
,,,,7,J,10,90,80,0,
,,,,8,L,30,100,70,0,
YlOrRd,9,seq,,1,A,0,0,20,0,
,,,,2,C,0,7,35,0,
,,,,3,D,0,15,50,0,
,,,,4,F,0,30,65,0,
,,,,5,G,0,45,70,0,
,,,,6,H,0,70,75,0,
,,,,7,J,10,90,80,0,
,,,,8,K,25,100,70,0,
,,,,9,M,50,100,70,0,
